0	12731
1	1545
2	477
3	1545|75|31
4	279
5	2684
6	27
7	4189|75|31
8	110|298
9	30
10	271|209|158
11	383
12	31
13	3624|395
14	385
15	143
16	2108
17	50|230|518
18	40|31
19	843|423
20	383|310
21	1683
22	95
23	310
24	159|682
25	1073|31
26	8993|3632|117
27	251
28	75|31|40|75|31
29	136
30	117|6
31	679|27
32	773|2|75|31
33	45|31
34	70
35	366|270
36	1277
37	142|65
38	327|6
39	538
40	598|1363|6
41	280
42	180|31
43	31|290
44	524
45	340
46	52|251
47	75|31
48	383|2151
49	46|822
50	70|126
51	250|27
52	2820|237
53	711|71
54	237
55	202|251
56	434|75|31
57	238
58	354
59	396
60	699
61	332
62	48
63	79
64	2235
65	434|31
66	53|463
67	383|310|1542
68	4636|518
69	538|1136
70	773|2|31
71	117
72	1427
73	75|31|290
74	1420
75	71
76	17
77	437
78	3897
79	371|91
80	52
81	291
82	852|100
83	225|128
84	755|1120|38
85	223|20|189
86	67|2619
87	48|6
88	61|143|4
89	1933
90	219|27
91	2316|100
92	788
93	45|518
94	219|469|1550
95	48|32
96	383|298
97	475|228
98	450
99	67
100	705|491
101	1575
102	64|1294
103	337
104	2611
105	518|631|6
106	818|31|38
107	327|48
108	423
109	117|1054
110	328
111	877
112	842
113	112
114	75|31|1545
115	219|469|2542
116	4854
117	67|76
118	73|107|4
119	818|31
120	437|27
121	202
122	1073|75|31
123	201
124	609|344
125	455
126	65
127	254
128	730
129	219
130	333
131	363
132	402
133	467
134	2914|615
135	371|164
136	1723
137	935|48
138	660
139	31|38
140	279|237
141	136|6
142	3357|6
143	61|143
144	238|27
145	219|503|2255
146	42
147	45|70|126
148	109|70
149	110|237
150	196
151	4106
152	60
153	569
154	225
155	4189
156	276
157	148
158	51
159	466|31|91
160	775|164|38
161	2107
162	487
163	4966
164	265|71
165	52|40
166	67|497
167	2069
168	843|1229
169	398
170	8696
171	555
172	551
173	630|1719|33|1009
174	518
175	340|336
176	327|48|6
177	1316|617
178	239|3528
179	449|478
180	201|3165
181	327|6|48|32
182	248
183	136|122
184	4676
185	1268
186	1704
187	4
188	3630
189	72|866
190	1016
191	1053
192	1200
193	241
194	300
195	2058
196	3057|31
197	209|158|531
198	371|164|72
199	705|491|38
200	1436
201	340|308
202	851|1816|1754|75|31
203	407|1628
204	65|100
205	64|495
206	209|158|531|3081
207	700
208	31|2740
209	159|132
210	267|549|150|6
211	461|117|6
212	2820
213	333|6
214	726|2417
215	1121
216	929|116
217	851|1816|1754
218	877|374
219	1185
220	30|368
221	204
222	3632
223	701
224	250
225	36|210
226	41|31|290
227	954
228	497
229	11688|359
230	217|105
231	40|75|31
232	191
233	1510
234	531|6
235	217
236	467|38
237	115
238	820
239	136|163|122
240	495
241	2763|3447|518
242	383|420|152|310
243	1537
244	53|548
245	987
246	570
247	45|48|32
248	420|152|518
249	70|166|185
250	986|770|1690
251	816|217
252	548
253	18|117
254	477|385
255	250|27|366
256	2108|100
257	587|407
258	586
259	227
260	3807
261	4799|127|5394
262	1926|201
263	1136
264	136|156|6
265	254|75|31
266	383|678
267	1877
268	1229
269	3229
270	136|163
271	4|40|24
272	942
273	219|27|126
274	98|540|518
275	531
276	383|237
277	1209
278	29|631|32
279	686|217
280	45
281	1027|9533
282	449|478|328
283	3614|353
284	587
285	45|434|31
286	4439|630
287	1564|1242
288	518|1996|631|6
289	1545|31
290	117|290
291	3776
292	5
293	1238
294	1453|185|60
295	271|209|158|48|6
296	75|31|38
297	271|209|3942|48
298	518|1996
299	225|128|122
300	843
301	27|126
302	1014
303	109|396
304	148|2913|171
305	3419|27
306	289|13
307	1120|38
308	148|810
309	1128
310	28525|10
311	109
312	437|27|126
313	2085
314	7651|0|46
315	238|4124
316	196|374
317	300|17
318	2889|1040
319	72|204
320	584|852|100
321	27|290
322	66
323	926
324	63|4
325	1626|3165
326	403|843|423
327	308
328	279|237|2151
329	70|952
330	1106|3213
331	1005|1054
332	235
333	4205|5707
334	5835
335	249
336	238|27|45|126
337	1663
338	1069
339	52|278
340	282|816
341	728|46
342	925
343	2470|1869
344	3473
345	3257|100
346	1648
347	571|1916|38
348	773|2|31|38
349	744|396
350	1495|201
351	528|6
352	2257
353	40|245|52
354	1194|1808|2076
355	3401
356	156|6
357	180|31|667
358	7092|31|1557
359	627
360	105
361	327|6|48
362	534
364	9176
365	243|17269
366	1658
367	733
368	1059
369	1459|1120|164|38
370	30|699
371	2120
372	755|1120|164|38
373	630|1719
374	489|265|71
375	434|46
376	1907
377	328|3988|75|31
378	475
379	463
380	117|72
381	1186
382	1524
383	877|163
384	238|27|290
385	2057
386	336
387	549|150
388	243|555
389	509|1493
390	1682
391	4602
392	61|4
393	450|31
394	4428
395	6509|679|27
396	1403
397	582
398	2577
399	3719
400	1872
401	818|31|290
402	683
403	313|35|181|897|314|112
404	1091
405	1071
406	528
407	195|67|76
408	225|49
409	4189|75|31|290
410	842|17
411	4315
412	16097|75|31
413	2337|4083
414	6118
415	406
416	4668
417	625
418	4407
419	300|227
420	1545|2306|1083
421	849
422	29|31|38
423	1370
424	298|6
425	417
426	310|115
427	2647
428	2662
429	165|164
430	1244|1183
431	310|926
432	25|48
433	609|75|31
434	1259
435	210
436	238|27|126
437	2442|27
438	1662
439	2963
440	410|35|181|897|314|112
441	29|3979
442	13521
443	10217
444	1586
445	3891|746|224
446	382|3807
447	136|163|6
448	1545|434|31
449	943|2537
450	1050
451	7371
452	8112
453	4528
454	1568
455	2656
456	157|853
457	95|1098
458	61
459	1486
460	289
461	281|551
462	1477
463	772
464	1406
465	3825
466	2820|110|237
467	3165
468	2882
469	3960
470	586|6
471	197|67
472	40|1097
473	2983|852|100
474	590|305
475	163|94
476	683|115
477	48|72
478	449|478|91
479	3214
480	3995
481	221
482	1099
483	680
484	755|1120
485	52|278|6
486	437|679|27
487	2419|450
488	2820|237|2151
489	2083
490	2171|396
491	1145
492	243|1294
493	1459
494	1265
495	1242
496	2337|13121|746
497	982
498	891|562|558
499	700|1839
500	52|2413
501	952|105
502	46|724
503	327|122|48|32
504	3204|699
505	2586
506	10|1510
507	238|2720
508	100|630
509	104|353
510	2509
511	609|31
512	449|478|328|1156
513	57
514	2080
515	2774|25
516	283|95
517	1133|64
518	70|17
519	245|890
520	686|105
521	45|31|571|1916|38
522	250|270
523	1194|27
524	773|2|818|31|29|38
525	519
526	342
527	239|887
528	1008
529	497|67
530	383|310|1598|335
531	4719
532	2306|1083
533	310|128
534	2315|1554
535	489|27
536	3167
537	265
538	6715
539	27|31
540	5394
541	14073|251
542	9238|7937
543	209|158|531|6
544	310|840
545	110|1212
546	1622
547	2169
548	5504
549	104|353|6
550	5273
551	2720
552	202|40|251
553	726|2417|982
554	326
555	1079
556	27|6
557	5553
558	477|606
559	404
560	10764|6|196|374
561	271|209|158|48
562	2577|1052
563	239|66
564	82|249
565	196|17
566	505
567	1400|1240
568	531|3081
569	2277|9379
570	239|1260|1434
571	443|52|1055
572	2735
573	1549
574	142|65|6
575	600
576	346|201
577	1237
578	128
579	143|4
580	1545|40|75|31
581	1541
582	2799|13
583	104|1993
584	25|336|453
585	1666
586	19330
587	1027
588	4541
589	276|13
590	2024|1648
591	971
592	250|71
593	27|615
594	3545
595	2139
596	1307|31
597	62|568
598	775|38|356
599	267|549|150|1041
600	396|1436
601	4923
602	1387|70
603	243|201
604	1066|27
605	489
606	811
607	579
608	142|65|100
609	52|2776
610	582|298
611	143|1638
612	4578|2|3787
613	2327
614	1280
615	679|27|1557
616	2537
617	934|267|549|150
618	225|128|6
619	160|918|201
620	1053|100
621	4473
622	70|6
623	1514
624	1723|1078
625	652
626	6102
627	420|152|310
628	13169|6
629	308|2665
630	3192
631	30|1932
632	978|251
633	3054
634	3270|2112
635	711|71|126
636	489|265
637	469|1550
638	2744|204
639	1375|820
640	25|95
641	403
642	831
643	2914|371|176
644	117|1005
645	249|76
646	1026|100
647	1402
648	423|1294
649	243|555|1128|38
650	16|230|1202
651	1054|548
652	29|38|46|31
653	1470|6
654	816
655	25|4
656	711|71|149
657	532|300|17
658	2013|1622
659	1856|75|31
660	298
661	2961
662	3092
663	1571
664	4543
665	286
666	935|3325
667	49|406|115
668	238|679|27
669	282
670	201|2097
671	562|558
672	461|117
673	238|3776
674	3316
675	910|225|840
676	53|1210
677	7329
678	1755
679	249|139
680	4174|2019
681	2365
682	584|852|100|6
683	4083
684	2180|27
685	549
686	3498|615
687	749|13
688	3545|164|72
689	327
690	335|730
691	1027|374
692	1271|615
693	326|163
694	568|6
695	1194
696	1433|852|100
697	115|3420
698	71|1454
699	3297
700	2277|2500
701	46|1454
702	199|117
703	1623|265
704	772|3044|27
